State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Sabah,N.58,MEROTAI,AZIZUL BIN TANDEK,PKS,20,14839,0.0013,0,L,HD,0
Sabah,N.58,MEROTAI,MOHD NASIR BIN SUMADI,USNO,28,14839,0.0019,0,L,HD,0
Sabah,N.59,TANJONG BATU,DATUK HAJAH HAMISA BINTI SAMAT,BN,8538,16767,0.5092,1,P,MNG,0
Sabah,N.59,TANJONG BATU,USMAN MADEAMING,PAS,1506,16767,0.0898,0,L,HD,0
Sabah,N.59,TANJONG BATU,ARDI BIN ARSAH @ SAMSI,PPRS,171,16767,0.0102,0,L,HD,0
Sabah,N.59,TANJONG BATU,ISMAIL SENANG,WARISAN,6552,16767,0.3908,0,L,KLH,BEKERJA SENDIRI
Sabah,N.60,SEBATIK,YUSRI HJ YUNUS,PPRS,38,5285,0.0072,0,L,HD,0
Sabah,N.60,SEBATIK,USTAZ ROSLAN RAMLI,PAS,504,5285,0.0954,0,L,HD,0
Sabah,N.60,SEBATIK,DATUK HJ. ABD MUIS HJ. PICHO,BN,2468,5285,0.467,1,L,MNG,TIADA
Sabah,N.60,SEBATIK,HASSAN A GANI PG AMIR,WARISAN,2275,5285,0.4305,0,L,KLH,BEKERJA SENDIRI
